"lat","lon","bay_segment","station","chla"
27.989901,-82.631599,"OTB",60,11.2
27.9676,-82.575996,"OTB",63,7.6
27.979401,-82.683296,"OTB",64,11.2
27.945601,-82.694298,"OTB",65,17.6
27.927799,-82.639702,"OTB",66,13.2
27.9002,-82.592003,"OTB",67,7.5
27.8519,-82.580803,"OTB",68,5.4
27.908899,-82.463203,"HB",70,7.1
27.876499,-82.413803,"HB",71,6.9
27.8281,-82.413101,"HB",73,1.8
27.809601,-82.445999,"HB",80,5.8
27.7813,-82.474098,"MTB",81,5
27.751101,-82.5718,"MTB",82,1.6
27.729,-82.498703,"MTB",84,1.5
27.625999,-82.591499,"LTB",90,2
27.627899,-82.641502,"LTB",91,1.6
27.5737,-82.686798,"LTB",92,1.4
27.578899,-82.744102,"LTB",93,1.3
27.6112,-82.694702,"LTB",95,1.6
27.889299,-82.477402,"HB",6,7.7
27.8589,-82.468597,"HB",7,12.9
27.8524,-82.409302,"HB",8,6.7
27.786501,-82.4272,"MTB",9,7.4
27.812901,-82.478897,"MTB",11,8.6
27.8118,-82.523201,"MTB",13,4.8
27.778,-82.520302,"MTB",14,4
27.723801,-82.533798,"MTB",16,2.7
27.693399,-82.555901,"MTB",19,3.5
27.666,-82.599197,"LTB",23,4.3
27.5884,-82.619301,"LTB",24,2.9
27.662701,-82.6679,"LTB",25,4.5
27.708401,-82.6092,"MTB",28,7.2
27.7932,-82.570702,"MTB",32,4.5
27.826099,-82.567497,"MTB",33,6.6
27.855801,-82.553299,"OTB",36,13.4
27.8818,-82.577499,"OTB",38,13
27.9291,-82.587303,"OTB",40,6.3
27.937401,-82.565002,"OTB",41,5.9
27.9237,-82.480698,"HB",44,9.1
27.9904,-82.659302,"OTB",46,16.6
27.972601,-82.620201,"OTB",47,11.6
27.918501,-82.537903,"OTB",50,5
27.8902,-82.548798,"OTB",51,7.5
27.896999,-82.438202,"HB",52,9.6
27.8493,-82.431396,"HB",55,10.4
27.989901,-82.631599,"OTB",60,12.1
27.9676,-82.575996,"OTB",63,7.7
27.979401,-82.683296,"OTB",64,17.2
27.945601,-82.694298,"OTB",65,12.8
27.927799,-82.639702,"OTB",66,17
27.9002,-82.592003,"OTB",67,11.1
27.8519,-82.580803,"OTB",68,10.9
27.908899,-82.463203,"HB",70,15.7
27.876499,-82.413803,"HB",71,14.4
27.8281,-82.413101,"HB",73,11.6
27.809601,-82.445999,"HB",80,9.9
27.7813,-82.474098,"MTB",81,7.9
27.751101,-82.5718,"MTB",82,5.4
27.729,-82.498703,"MTB",84,5.9
27.625999,-82.591499,"LTB",90,2.9
27.627899,-82.641502,"LTB",91,4.1
27.5737,-82.686798,"LTB",92,2.7
27.578899,-82.744102,"LTB",93,2.1
27.6112,-82.694702,"LTB",95,3.9
27.889299,-82.477402,"HB",6,12.5
27.8589,-82.468597,"HB",7,17.8
27.8524,-82.409302,"HB",8,4.8
27.786501,-82.4272,"MTB",9,3.6
27.812901,-82.478897,"MTB",11,11.8
27.8118,-82.523201,"MTB",13,9
27.778,-82.520302,"MTB",14,8.4
27.723801,-82.533798,"MTB",16,3.5
27.693399,-82.555901,"MTB",19,3.5
27.666,-82.599197,"LTB",23,5.1
27.5884,-82.619301,"LTB",24,5.3
27.662701,-82.6679,"LTB",25,2.6
27.708401,-82.6092,"MTB",28,4.7
27.7932,-82.570702,"MTB",32,4.2
27.826099,-82.567497,"MTB",33,5.4
27.855801,-82.553299,"OTB",36,8.4
27.8818,-82.577499,"OTB",38,10.5
27.9291,-82.587303,"OTB",40,9
27.937401,-82.565002,"OTB",41,7.2
27.9237,-82.480698,"HB",44,13.8
27.9904,-82.659302,"OTB",46,44.5
27.972601,-82.620201,"OTB",47,27.7
27.918501,-82.537903,"OTB",50,4.4
27.8902,-82.548798,"OTB",51,5.3
27.896999,-82.438202,"HB",52,19
27.8493,-82.431396,"HB",55,21.8
27.989901,-82.631599,"OTB",60,9.3
27.9676,-82.575996,"OTB",63,20.5
27.979401,-82.683296,"OTB",64,40.1
27.945601,-82.694298,"OTB",65,22.7
27.927799,-82.639702,"OTB",66,21.9
27.9002,-82.592003,"OTB",67,7.2
27.8519,-82.580803,"OTB",68,9.9
27.908899,-82.463203,"HB",70,12.7
27.876499,-82.413803,"HB",71,25.1
27.8281,-82.413101,"HB",73,5.5
27.809601,-82.445999,"HB",80,12.4
27.7813,-82.474098,"MTB",81,7.7
27.751101,-82.5718,"MTB",82,4
27.729,-82.498703,"MTB",84,3.7
27.625999,-82.591499,"LTB",90,6.2
27.627899,-82.641502,"LTB",91,5.1
27.5737,-82.686798,"LTB",92,7
27.578899,-82.744102,"LTB",93,5.4
27.6112,-82.694702,"LTB",95,4.4
27.889299,-82.477402,"HB",6,8.8
27.8589,-82.468597,"HB",7,13
27.8524,-82.409302,"HB",8,19.7
27.786501,-82.4272,"MTB",9,6.2
27.812901,-82.478897,"MTB",11,18.5
27.8118,-82.523201,"MTB",13,10.9
27.778,-82.520302,"MTB",14,13.9
27.723801,-82.533798,"MTB",16,9.3
27.693399,-82.555901,"MTB",19,6.1
27.666,-82.599197,"LTB",23,7.2
27.5884,-82.619301,"LTB",24,5.7
27.662701,-82.6679,"LTB",25,4.1
27.708401,-82.6092,"MTB",28,2.8
27.7932,-82.570702,"MTB",32,8.4
27.826099,-82.567497,"MTB",33,9
27.855801,-82.553299,"OTB",36,9.8
27.8818,-82.577499,"OTB",38,12.8
27.9291,-82.587303,"OTB",40,37.5
27.937401,-82.565002,"OTB",41,11.2
27.9237,-82.480698,"HB",44,18.4
27.9904,-82.659302,"OTB",46,25.8
27.972601,-82.620201,"OTB",47,45.1
27.918501,-82.537903,"OTB",50,8.7
27.8902,-82.548798,"OTB",51,11.6
27.896999,-82.438202,"HB",52,27.5
27.8493,-82.431396,"HB",55,59.7
27.989901,-82.631599,"OTB",60,51.8
27.9676,-82.575996,"OTB",63,16.1
27.979401,-82.683296,"OTB",64,16.4
27.945601,-82.694298,"OTB",65,46.3
27.927799,-82.639702,"OTB",66,32.6
27.9002,-82.592003,"OTB",67,18.2
27.8519,-82.580803,"OTB",68,6.8
27.908899,-82.463203,"HB",70,66.6
27.876499,-82.413803,"HB",71,15.9
27.8281,-82.413101,"HB",73,17.8
27.809601,-82.445999,"HB",80,18.8
27.7813,-82.474098,"MTB",81,25.3
27.751101,-82.5718,"MTB",82,9.5
27.729,-82.498703,"MTB",84,9.4
27.625999,-82.591499,"LTB",90,6.4
27.627899,-82.641502,"LTB",91,5.9
27.5737,-82.686798,"LTB",92,4.8
27.578899,-82.744102,"LTB",93,6.5
27.6112,-82.694702,"LTB",95,4.5
27.889299,-82.477402,"HB",6,9.2
27.8589,-82.468597,"HB",7,11.1
27.8524,-82.409302,"HB",8,11.7
27.786501,-82.4272,"MTB",9,11.2
27.812901,-82.478897,"MTB",11,7.9
27.8118,-82.523201,"MTB",13,14.4
27.778,-82.520302,"MTB",14,14.3
27.723801,-82.533798,"MTB",16,4.3
27.693399,-82.555901,"MTB",19,4.2
27.666,-82.599197,"LTB",23,4.1
27.5884,-82.619301,"LTB",24,2.8
27.662701,-82.6679,"LTB",25,4.8
27.708401,-82.6092,"MTB",28,5.1
27.7932,-82.570702,"MTB",32,12.4
27.826099,-82.567497,"MTB",33,8.8
27.855801,-82.553299,"OTB",36,14.3
27.8818,-82.577499,"OTB",38,20.3
27.9291,-82.587303,"OTB",40,9.1
27.937401,-82.565002,"OTB",41,20.4
27.9237,-82.480698,"HB",44,10.8
27.9904,-82.659302,"OTB",46,46.6
27.972601,-82.620201,"OTB",47,24.2
27.918501,-82.537903,"OTB",50,17.7
27.8902,-82.548798,"OTB",51,16.3
27.896999,-82.438202,"HB",52,15
27.8493,-82.431396,"HB",55,12.6
27.989901,-82.631599,"OTB",60,29.8
27.9676,-82.575996,"OTB",63,22.8
27.979401,-82.683296,"OTB",64,21
27.945601,-82.694298,"OTB",65,42.9
27.927799,-82.639702,"OTB",66,8.2
27.9002,-82.592003,"OTB",67,41.1
27.8519,-82.580803,"OTB",68,45
27.908899,-82.463203,"HB",70,14.6
27.876499,-82.413803,"HB",71,15.2
27.8281,-82.413101,"HB",73,12.5
27.809601,-82.445999,"HB",80,11
27.7813,-82.474098,"MTB",81,8
27.751101,-82.5718,"MTB",82,7.8
27.729,-82.498703,"MTB",84,2.6
27.625999,-82.591499,"LTB",90,2
27.627899,-82.641502,"LTB",91,4.1
27.5737,-82.686798,"LTB",92,3.8
27.578899,-82.744102,"LTB",93,3.6
27.6112,-82.694702,"LTB",95,5.6
27.889299,-82.477402,"HB",6,6
27.8589,-82.468597,"HB",7,8.4
27.8524,-82.409302,"HB",8,7.2
27.786501,-82.4272,"MTB",9,7.2
27.812901,-82.478897,"MTB",11,4.6
27.8118,-82.523201,"MTB",13,3.7
27.778,-82.520302,"MTB",14,5.2
27.723801,-82.533798,"MTB",16,4.2
27.693399,-82.555901,"MTB",19,6.9
27.666,-82.599197,"LTB",23,10
27.5884,-82.619301,"LTB",24,7.8
27.662701,-82.6679,"LTB",25,5.6
27.708401,-82.6092,"MTB",28,5.8
27.7932,-82.570702,"MTB",32,3.7
27.826099,-82.567497,"MTB",33,4.7
27.855801,-82.553299,"OTB",36,2.5
27.8818,-82.577499,"OTB",38,2.6
27.9291,-82.587303,"OTB",40,4.3
27.937401,-82.565002,"OTB",41,2.8
27.9237,-82.480698,"HB",44,3.5
27.9904,-82.659302,"OTB",46,4.1
27.972601,-82.620201,"OTB",47,3.5
27.918501,-82.537903,"OTB",50,2.9
27.8902,-82.548798,"OTB",51,2.5
27.896999,-82.438202,"HB",52,8
27.8493,-82.431396,"HB",55,6.5
27.989901,-82.631599,"OTB",60,3.4
27.9676,-82.575996,"OTB",63,3.4
27.979401,-82.683296,"OTB",64,6.7
27.945601,-82.694298,"OTB",65,7.9
27.927799,-82.639702,"OTB",66,6.8
27.9002,-82.592003,"OTB",67,2.9
27.8519,-82.580803,"OTB",68,2.5
27.908899,-82.463203,"HB",70,8.2
27.876499,-82.413803,"HB",71,6.2
27.8281,-82.413101,"HB",73,4.3
27.809601,-82.445999,"HB",80,4.7
27.7813,-82.474098,"MTB",81,4.4
27.751101,-82.5718,"MTB",82,5.8
27.729,-82.498703,"MTB",84,12
27.625999,-82.591499,"LTB",90,8.3
27.627899,-82.641502,"LTB",91,6.3
27.5737,-82.686798,"LTB",92,2.1
27.578899,-82.744102,"LTB",93,2.9
27.6112,-82.694702,"LTB",95,3.4
27.889299,-82.477402,"HB",6,4.2
27.8589,-82.468597,"HB",7,9.5
27.8524,-82.409302,"HB",8,6.5
27.786501,-82.4272,"MTB",9,4.5
27.812901,-82.478897,"MTB",11,4
27.8118,-82.523201,"MTB",13,2.6
27.778,-82.520302,"MTB",14,3.3
27.723801,-82.533798,"MTB",16,2.4
27.693399,-82.555901,"MTB",19,2.2
27.666,-82.599197,"LTB",23,2.9
27.5884,-82.619301,"LTB",24,2.2
27.662701,-82.6679,"LTB",25,2
27.708401,-82.6092,"MTB",28,1.7
27.7932,-82.570702,"MTB",32,4.9
27.826099,-82.567497,"MTB",33,4.6
27.855801,-82.553299,"OTB",36,5.5
27.8818,-82.577499,"OTB",38,3.7
27.9291,-82.587303,"OTB",40,4.9
27.937401,-82.565002,"OTB",41,6.6
27.9237,-82.480698,"HB",44,4.9
27.9904,-82.659302,"OTB",46,9
27.972601,-82.620201,"OTB",47,6.1
27.918501,-82.537903,"OTB",50,5.2
27.8902,-82.548798,"OTB",51,5.4
27.896999,-82.438202,"HB",52,4.9
27.8493,-82.431396,"HB",55,6.4
27.989901,-82.631599,"OTB",60,4.2
27.9676,-82.575996,"OTB",63,6.2
27.979401,-82.683296,"OTB",64,4.8
27.945601,-82.694298,"OTB",65,10.7
27.927799,-82.639702,"OTB",66,8.3
27.9002,-82.592003,"OTB",67,6.5
27.8519,-82.580803,"OTB",68,3.4
27.908899,-82.463203,"HB",70,5.3
27.876499,-82.413803,"HB",71,4.4
27.8281,-82.413101,"HB",73,5.4
27.809601,-82.445999,"HB",80,4.8
27.7813,-82.474098,"MTB",81,4.4
27.751101,-82.5718,"MTB",82,1.4
27.729,-82.498703,"MTB",84,2
27.625999,-82.591499,"LTB",90,1.8
27.627899,-82.641502,"LTB",91,2
27.5737,-82.686798,"LTB",92,1.8
27.578899,-82.744102,"LTB",93,1.6
27.6112,-82.694702,"LTB",95,1.8
27.889299,-82.477402,"HB",6,6.5
27.8589,-82.468597,"HB",7,11
27.8524,-82.409302,"HB",8,45.8
27.786501,-82.4272,"MTB",9,8.5
27.812901,-82.478897,"MTB",11,3.6
27.8118,-82.523201,"MTB",13,1.6
27.778,-82.520302,"MTB",14,3.7
27.723801,-82.533798,"MTB",16,1.8
27.693399,-82.555901,"MTB",19,1.7
27.666,-82.599197,"LTB",23,2.2
27.5884,-82.619301,"LTB",24,3.2
27.662701,-82.6679,"LTB",25,1.8
27.708401,-82.6092,"MTB",28,2.8
27.7932,-82.570702,"MTB",32,2.5
27.826099,-82.567497,"MTB",33,4.2
27.855801,-82.553299,"OTB",36,2.7
27.8818,-82.577499,"OTB",38,2.9
27.9291,-82.587303,"OTB",40,3.2
27.937401,-82.565002,"OTB",41,3.2
27.9237,-82.480698,"HB",44,4.4
27.9904,-82.659302,"OTB",46,3.8
27.972601,-82.620201,"OTB",47,3.5
27.918501,-82.537903,"OTB",50,3.4
27.8902,-82.548798,"OTB",51,2.8
27.896999,-82.438202,"HB",52,9.1
27.8493,-82.431396,"HB",55,6
27.989901,-82.631599,"OTB",60,3.7
27.9676,-82.575996,"OTB",63,3.6
27.979401,-82.683296,"OTB",64,5.4
27.945601,-82.694298,"OTB",65,5.6
27.927799,-82.639702,"OTB",66,3.4
27.9002,-82.592003,"OTB",67,3.1
27.8519,-82.580803,"OTB",68,2.7
27.908899,-82.463203,"HB",70,7.1
27.876499,-82.413803,"HB",71,3.1
27.8281,-82.413101,"HB",73,4.2
27.809601,-82.445999,"HB",80,6.9
27.7813,-82.474098,"MTB",81,4.1
27.751101,-82.5718,"MTB",82,4.7
27.729,-82.498703,"MTB",84,2.6
27.625999,-82.591499,"LTB",90,1.9
27.627899,-82.641502,"LTB",91,1.5
27.5737,-82.686798,"LTB",92,1.6
27.578899,-82.744102,"LTB",93,1.9
27.6112,-82.694702,"LTB",95,1.7
27.889299,-82.477402,"HB",6,4
27.8589,-82.468597,"HB",7,2.2
27.8524,-82.409302,"HB",8,4.5
27.786501,-82.4272,"MTB",9,2.9
27.812901,-82.478897,"MTB",11,2.2
27.8118,-82.523201,"MTB",13,1.3
27.778,-82.520302,"MTB",14,1.3
27.723801,-82.533798,"MTB",16,2.5
27.693399,-82.555901,"MTB",19,2.5
27.666,-82.599197,"LTB",23,1.4
27.5884,-82.619301,"LTB",24,2
27.662701,-82.6679,"LTB",25,1.9
27.708401,-82.6092,"MTB",28,2
27.7932,-82.570702,"MTB",32,1.4
27.826099,-82.567497,"MTB",33,1.6
27.855801,-82.553299,"OTB",36,2.3
27.8818,-82.577499,"OTB",38,4.6
27.9291,-82.587303,"OTB",40,2.7
27.937401,-82.565002,"OTB",41,3.3
27.9237,-82.480698,"HB",44,7.7
27.9904,-82.659302,"OTB",46,2.9
27.972601,-82.620201,"OTB",47,4.3
27.918501,-82.537903,"OTB",50,3.6
27.8902,-82.548798,"OTB",51,2.5
27.896999,-82.438202,"HB",52,6
27.8493,-82.431396,"HB",55,7.3
27.989901,-82.631599,"OTB",60,3.5
27.9676,-82.575996,"OTB",63,5.3
27.979401,-82.683296,"OTB",64,4.7
27.945601,-82.694298,"OTB",65,3.1
27.927799,-82.639702,"OTB",66,3.5
27.9002,-82.592003,"OTB",67,3.5
27.8519,-82.580803,"OTB",68,5.3
27.908899,-82.463203,"HB",70,4.2
27.876499,-82.413803,"HB",71,5.4
27.8281,-82.413101,"HB",73,2.7
27.809601,-82.445999,"HB",80,2.4
27.7813,-82.474098,"MTB",81,1.7
27.751101,-82.5718,"MTB",82,2.6
27.729,-82.498703,"MTB",84,3.5
27.625999,-82.591499,"LTB",90,2.6
27.627899,-82.641502,"LTB",91,1.6
27.5737,-82.686798,"LTB",92,1.3
27.578899,-82.744102,"LTB",93,1.4
27.6112,-82.694702,"LTB",95,1.6
27.889299,-82.477402,"HB",6,6.2
27.8589,-82.468597,"HB",7,5.3
27.8524,-82.409302,"HB",8,8.9
27.786501,-82.4272,"MTB",9,2.5
27.812901,-82.478897,"MTB",11,4.1
27.8118,-82.523201,"MTB",13,1.7
27.778,-82.520302,"MTB",14,1.6
27.723801,-82.533798,"MTB",16,2.1
27.693399,-82.555901,"MTB",19,2.1
27.666,-82.599197,"LTB",23,3.1
27.5884,-82.619301,"LTB",24,2.5
27.662701,-82.6679,"LTB",25,3
27.708401,-82.6092,"MTB",28,2
27.7932,-82.570702,"MTB",32,1.9
27.826099,-82.567497,"MTB",33,2.6
27.855801,-82.553299,"OTB",36,2.3
27.8818,-82.577499,"OTB",38,2.4
27.9291,-82.587303,"OTB",40,2
27.937401,-82.565002,"OTB",41,2.4
27.9237,-82.480698,"HB",44,8.1
27.9904,-82.659302,"OTB",46,2.5
27.972601,-82.620201,"OTB",47,1.9
27.918501,-82.537903,"OTB",50,1.8
27.8902,-82.548798,"OTB",51,1.8
27.896999,-82.438202,"HB",52,11.1
27.8493,-82.431396,"HB",55,6
27.989901,-82.631599,"OTB",60,2.2
27.9676,-82.575996,"OTB",63,1.8
27.979401,-82.683296,"OTB",64,2.6
27.945601,-82.694298,"OTB",65,3.4
27.927799,-82.639702,"OTB",66,1.3
27.9002,-82.592003,"OTB",67,2.8
27.8519,-82.580803,"OTB",68,2.3
27.908899,-82.463203,"HB",70,7.7
27.876499,-82.413803,"HB",71,7.7
27.8281,-82.413101,"HB",73,3.4
27.809601,-82.445999,"HB",80,6.6
27.7813,-82.474098,"MTB",81,2.7
27.751101,-82.5718,"MTB",82,2.2
27.729,-82.498703,"MTB",84,2.3
27.625999,-82.591499,"LTB",90,1.7
27.627899,-82.641502,"LTB",91,2.1
27.5737,-82.686798,"LTB",92,2.7
27.578899,-82.744102,"LTB",93,2.4
27.6112,-82.694702,"LTB",95,3.3
27.889299,-82.477402,"HB",6,4.1
27.8589,-82.468597,"HB",7,4.7
27.8524,-82.409302,"HB",8,5.4
27.786501,-82.4272,"MTB",9,5
27.812901,-82.478897,"MTB",11,1.9
27.8118,-82.523201,"MTB",13,1.5
27.778,-82.520302,"MTB",14,2.4
27.723801,-82.533798,"MTB",16,1.4
27.693399,-82.555901,"MTB",19,1.7
27.666,-82.599197,"LTB",23,1.8
27.5884,-82.619301,"LTB",24,1.3
27.662701,-82.6679,"LTB",25,2
27.708401,-82.6092,"MTB",28,1.6
27.7932,-82.570702,"MTB",32,2.6
27.826099,-82.567497,"MTB",33,2.4
27.855801,-82.553299,"OTB",36,2.5
27.8818,-82.577499,"OTB",38,1.8
27.9291,-82.587303,"OTB",40,2.9
27.937401,-82.565002,"OTB",41,1.3
27.9237,-82.480698,"HB",44,2.4
27.9904,-82.659302,"OTB",46,1.8
27.972601,-82.620201,"OTB",47,2.1
27.918501,-82.537903,"OTB",50,2.3
27.8902,-82.548798,"OTB",51,2.5
27.896999,-82.438202,"HB",52,8.6
27.8493,-82.431396,"HB",55,7.4
27.989901,-82.631599,"OTB",60,1.8
27.9676,-82.575996,"OTB",63,1.8
27.979401,-82.683296,"OTB",64,4.8
27.945601,-82.694298,"OTB",65,5.7
27.927799,-82.639702,"OTB",66,2.1
27.9002,-82.592003,"OTB",67,2.3
27.8519,-82.580803,"OTB",68,2.5
27.908899,-82.463203,"HB",70,6.4
27.876499,-82.413803,"HB",71,6.6
27.8281,-82.413101,"HB",73,5.8
27.809601,-82.445999,"HB",80,4.8
27.7813,-82.474098,"MTB",81,3
27.751101,-82.5718,"MTB",82,1.6
27.729,-82.498703,"MTB",84,2.5
27.625999,-82.591499,"LTB",90,1.8
27.627899,-82.641502,"LTB",91,1.9
27.5737,-82.686798,"LTB",92,1.8
27.578899,-82.744102,"LTB",93,1.7
27.6112,-82.694702,"LTB",95,2.5
